Title	Content	Category	NewsType
"Baby Jane Doe' funeral held for newborn found near California highway, as cops still searching for relatives"	"More than four months after a newborn girl was found dead in a cardboard box along a Southern California highway, community members came together Thursday to pay their respects as authorities continue the search for the girl's relatives. A group of donors raised funds to provide a burial service for the girl, who's known as ""Baby Jane Doe."" She was discovered July 27, wrapped in a t-shirt with stripes and a floral pattern near Interstate 15 in Corona, located east of Los Angeles. Jon Castillo, a Corona police chaplain, led about 70 people in prayer near the tiny, flower-draped casket Thursday, the Press-Enterprise reported. ""Every person who walks the planet is born in God's image, and she had inherent value and worth,"" he told those gathered at the service. The coroner's department has been unable to determine the cause of the girl's death, and attempts to identify any potential family members through DNA have also been unsuccessful. “We just wanted to make sure that the little girl got a proper burial,"" Sgt. Chad Fountain told the Press-Enterprise SEARCH EXPANDS FOR COLORADO MOM, 29, LAST SEEN ON THANKSGIVING Those who attended the service, which featured flowers and stuffed animals, said they felt compelled to show up for the child. “It touches your heart,” Marilyn Aguilar said. “I just thought that coming out and showing support for this unknown baby was something we had to do.” The Corona Police Department reminded people the city offers several sites, including police stations, fire stations and hospitals — where parents can give up an infant within 72 hours of birth with no questions asked. The Associated Press contributed to this report."	nonTerrorism	Crime
3 arrested in protests over Alabama police shooting	"Three people have been arrested in the continuing protests over the fatal police shooting of a black man inside Alabama's largest shopping mall on Thanksgiving night, authorities said Monday. Two men were arrested Sunday on disorderly conduct charges after a protest that briefly shut down an interstate highway. A woman was arrested Thursday after someone was seen throwing Christmas ornaments into traffic in Hoover, where the shooting occurred. News outlets reported the woman allegedly told authorities she was doing it as part of the protests seeking justice for Emantic ""EJ"" Bradford Jr., who was killed by a police officer who mistook him for the gunman in a shooting that wounded two people in the Riverchase Galleria. It was unclear whether any of the three who were arrested have attorneys to speak on their behalf. In a statement, the city said it supported the right to protest peacefully but that blocking Interstate 459 presents ""a serious public safety concern for everyone."" ""We have consistently stated that we will not allow roads and highways to be blocked by protesters because it is hazardous and jeopardizes the safety of all citizens and visitors to Hoover,"" said the statement. No one was hurt in the interstate protest, but authorities said two security guards suffered minor injuries during a demonstration at an upscale resort in Hoover, a city of about 85,000 people in suburban Birmingham. The NAACP Legal Defense and Educational Fund last week asked federal authorities to investigate Bradford's death, citing questions including differing police accounts of what occurred. The chief federal prosecutor in north Alabama, Jay Town, said officials are monitoring the situation."	nonTerrorism	Crime
"Jehovah's Witness halls in Washington state targeted by arson attacks, at least 5 since March"	"A fire that ripped through a Jehovah’s Witness Kingdom Hall in Washington state Friday is now the fifth blaze in an apparent series of attacks targeting houses of worship in the area during the past nine months. The Seattle Division of the Bureau of Alcohol, Tobacco, Firearms and Explosives said Saturday the agency determined the fire at the Jehovah's Witness Kingdom Hall in Lacey was an arson. The Thurston County Sheriff's Office said the blaze was reported around 3:42 a.m. and prompted a response by the ATF and a local task force that's been looking into attacks targeting other Kingdom Halls in the county, located about 70 miles southwest of Seattle. “Makes you feel really ill about somebody who has some sort of animosity towards any religion,” Thurston County Sheriff John Snaza told Q13 News. Since March there have been five attacks at Jehovah’s Witness Kingdom Halls in Thurston County. Two arsons took place on March 19 at Kingdom Halls in Tumwater and Olympia with minor damage reported, according to the ATF. The third incident was reported May 15, when someone fired 35 rifle rounds at a Kingdom Hall in Yelm and caused more than $10,000 in damage. Someone then returned back to the building in Olympia on July 3 and set a fire that destroyed the building. In August, someone tried to set fire to the Kingdom Hall in Yelm. Church elders at the time had arrived to find fire logs stacked up against an outside wall that was smoldering, Q13 News reported at the time. They were able to douse the logs with water and prevented any further damage to the building. “More or less they’re terrified,” Snaza told Q13 News. “Why are they being targeted? Why is this specific religion being targeted?” SEARCH EXPANDS FOR COLORADO MOM, 29, LAST SEEN ON THANKSGIVING Dan Woollett, a minister at Lacey Kingdom Hall, called the blaze on Friday ""devastating"" for the whole congregation. “It’s devastating for sure but you know it’s just a building,"" he said. ""Everybody’s safe and that’s the important thing."" The ATF said authorities are offering up to a $36,000 reward for information in the case. No injuries have been reported in any of the incidents, but Seattle ATF agent Derek Pleasant told Q13 News that ""it is inevitable that innocent people will be injured or killed if these incidents go unchecked."" ""We take events at houses of worship very seriously and are appealing to those who live in and around Thurston and the surrounding counties to partner with us in protecting their communities in this investigation,"" Pleasant said. A spokesperson for Jehovah's Witnesses told Fox News there are over 33,000 worshippers in Washington state who meet in 163 Kingdom Halls. ""Jehovah’s Witnesses work hard to be a force for good in their community, so violent acts like this are difficult to comprehend,"" David A. Semonian told Fox News. ""We are grateful for the efforts of the authorities to apprehend those responsible and restore safety and security for both our fellow worshippers and their neighbors."" Anyone with information on the fires or the shooting at the religious facilities is asked to call ATF's toll-free hotline at 888-ATF-TIPS, Crime Stoppers of South Sound at 1-800-222-TIPS, or the Arson Alarm Foundation at 1-800-55-ARSON."	nonTerrorism	Crime
Chicago campaign volunteer shot on Facebook Live while handing out pamphlets	"Maxwell Little was canvassing a Chicago neighborhood in support of an alderman candidate who's spoken out about the city's gun violence epidemic -- when suddenly Little found himself a victim of that violence. Little was streaming on Facebook Live on Sunday telling his viewers about Joseph Williams, a candidate in the 15th Ward, when multiple gunshots suddenly rang out. The 32-year-old campaign volunteer looked over his shoulder and fled, stopping the camera. Little was shot once in the leg by a masked man, he said in a Facebook post later. The shooting occurred just before 2 p.m. Sunday in the West Englewood neighborhood and an arrest has not yet been made, the Chicago Tribune reported. Little said he is “blessed and thankful to be in the land of the living,” but he contends the shooting was not random. “Someone wanted me dead,” he said on Facebook. On social media, Little goes by the name Maxwell Omowale Justice, according to WLS-TV. DEM OPERATIVE FOR SOROS-FUNDED GROUP ARRESTED FOR 'BATTERY' AGAINST NEVADA GOP CANDIDATE'S CAMPAIGN MANAGER Williams told WLS he’s been in contact with Little and is praying for his recovery. “It should have never happened. He is an innocent bystander who is coming out to do something good,” Williams said. Ald. Raymond Lopez, who currently represents the area, said gun violence in the city needs to be “confronted and addressed directly and without excuses.” CAMPAIGN WORKER GOES PUBLIC WITH SEX-ASSAULT ALLEGATION AGAINST COLLEAGUE, SAYING SHE 'CAN'T GET ANY JUSTICE' “Campaign or not, it is completely unacceptable and unfortunate that someone would feel compelled to shoot at someone simply because they didn’t recognize them from the community,” Lopez said. “This is the same type of mindless gun violence we have seen in other neighborhoods.” Little has already been released from the hospital, Williams told WLS."	nonTerrorism	Crime
Man pleads guilty after arrest in Indiana girl’s cold case murder solved	"Indiana prosecutors have obtained a guilty plea in the cold case murder of an 8-year-old girl that was solved using a genealogy website. John Miller, 59, agreed to serve an 80-year prison sentence as part of the plea deal, according to reports. Miller was charged in July with raping and killing the girl, April Tinsley, in Fort Wayne 30 years ago. His arrest came after DNA from the crime scene was uploaded to the GEDmatch website. INDIANA MAN ARRESTED IN 1988 RAPE, MURDER OF 8-YEAR-OLD GIRL AFTER DNA MATCH FOUND ON USED CONDOMS, COPS SAY “On April 1, 1988, I abducted April Tinsley,” Miller told an Allen County judge Friday, according to the Fort Wayne Journal Gazette. “After abducting her, I had sexual intercourse with her. I strangled her with my hands, killing her.” April’s mother was in the courtroom as Miller addressed the judge, according to the paper. “Right now, it's emotional,” Janet Tinsley told the paper. The Journal Gazette reported that the plea brought to a close perhaps the most notorious criminal case in the history of northeast Indiana. The case was featured on national broadcasts including “America's Most Wanted,” according to the paper. Miller had a February trial date. His sentencing is set for Dec. 31."	nonTerrorism	Crime
Fake tourist claiming he had money stolen steals money from actual tourist	"A man claiming to be a tourist who had just had his money stolen is wanted by the NYPD after using his sob story to actually steal from an actual tourist. The thief, who appeared to be in his 50s and sported a salt and pepper beard, walked up to a tourist on Nov. 23 in the Times Square/42nd Street subway station and asked for directions, police said. He claimed he was visiting New York City and someone had just stolen $300 from him. Appearing to be a friendly tourist, he asked the 23-year-old woman if she could hold his money, which he kept in an orange bandana. The woman opened her backpack, and in doing so exposed a lump of cash she was also holding, police said. The man then allegedly asked if they could combine their money together to keep it safe. He then placed all their money in an orange bandana and put it into the woman's coat pocket, saying he was walking up the street and would soon return. Police said the woman became worried when the man didn’t come back and she decided to check what was in the orange bandana. Instead of cash, she found newspaper. The thief made off with $1,200 and was last seen wearing a gray and black knit cap, a black coat and gray pants, police said. Anyone with information is urged to call NYPD's Crime Stoppers Hotline at 1-800-577-TIPS (8477)."	nonTerrorism	Crime
"Drunk driver crashes into vehicle carrying family of four, killing Florida sheriff’s bailiff"	"A suspected drunk driver in Florida was arrested Sunday after she crashed her car into a vehicle carrying a family of four, killing a passenger who was also a sheriff’s bailiff, police said. Kim Johnston, 46, faces charges of driving under the influence with serious bodily injury to another person following the collision around 1:15 a.m. Sunday. Johnston is expected to appear in court Monday and could face upgraded charges in the wake of the passenger's death. Johnston was allegedly intoxicated while she was driving on Interstate 95 in St. Johns County when she collided with a vehicle carrying Jacksonville sheriff’s bailiff Cathy Adams, 43, her husband, police officer William Adams, 50, and their two children, ages 14 and 16, Action News Jax reported. The vehicle overturned and the sheriff’s bailiff was ejected, police said. The family of four was rushed to the hospital where Cathy Adams was pronounced dead, Jacksonville Sheriff’s Office said. William Adams remained in critical condition as of Sunday night, while the teens suffered minor injuries. “We are heartbroken to say that one of our #JSO employees, Cathy Adams has passed away within the last hour from injuries sustained in the traffic crash earlier this morning,” the sheriff’s office tweeted. “If you are inclined to do so, please say a prayer for the Adams family.” The couple and their two children were reportedly driving home from a state championship football game when the fatal crash occurred. William Adams, who also goes by Jack, had served in the Marines and was part of Operation Desert Storm, friend Robert Germano told Action News Jax. “He was my boss in Desert Storm, he was my crew chief, so you know, we lived on the same track the same vehicle for, like, five months,” Germano told the news site."	nonTerrorism	Crime
California mother drowns twin sons at motel where she was staying for free	"A California mother was arrested Thursday for allegedly drowning her twin 10-month-old sons at a motel where police had arranged for her to stay after she was removed from a shelter for causing a disturbance, authorities said. Heather Langdon, 37, was facing murder charges for the deaths of her sons, Mason and Maddox Murguia, according to People. Langdon was taken to the Tulare motel after she was told she couldn’t stay at the women’s shelter, police said. Officers had no previous contact with Langdon and would have called for mental health assistance if they believed she posed a danger to herself or her children, Tulare police Sgt. Jon Hamlin said. Hamlin said officers found a nonprofit agency willing to pay for the motel room Langdon was staying at. He added officers didn’t want to leave without finding a shelter for Langdon and her children because it was a cold night. Maria Marez, who lives near the motel, told YourCentralValley.com she saw Langdon the morning the boys were killed. “She was like, ‘I almost drowned them. I almost drowned them’ and then I flagged down the police,” Marez said. “She kept saying that: ‘I almost drowned them. I almost drowned my babies,’ and she was trying to help the babies but I didn’t know that they were already deceased. She was just standing there looking around. She looked kind of worried, like something was wrong.” The twins weren’t breathing when officers arrived on the scene and they were later pronounced dead at a hospital. The Associated Press contributed to this report."	nonTerrorism	Crime
Ohio woman throws baby twice during argument about Amazon purchases	"An Ohio woman threw her infant twice during an animated argument with her sister about Amazon purchases, police said. Erin Johnson, 32, faces child endangerment charges after a fight was reported at her home in Youngstown around 9 a.m., WKBN reported. Officers arrived at the scene and spoke to a woman who said she was holding her grandchild. Johnson was allegedly in the midst of an argument with her sister when, out of frustration, she threw her baby onto the couch, WKBN reported. She then allegedly threw the child a second time. Police said Johnson told them she was constantly being blamed for incidents, suffered from postpartum depression and needed to “see someone.” The child was taken to the hospital after the incident. It was not immediately clear if the baby suffered any injuries."	nonTerrorism	Crime
"‘Whitey’ Bulger thought he was headed to hospital before prison murder, family to file lawsuit"	"The family of notorious Boston mobster James “Whitey” Bulger plans to file a lawsuit against the government claiming wrongful death and negligence more than a month after his mysterious murder inside a West Virginia prison. Hank Brennan, Bulger’s longtime attorney, told the Wall Street Journal on Sunday, the gangster’s estate wants to find out why authorities sent the infamous mob boss to U.S. Penitentiary Hazelton in October, where he was beaten to death inside his unlocked cell fewer than 24 hours after his transfer. “It’s important for the family and the public to know why the prisons decided to wheel an 89-year-old man with a history of heart attacks into one of the most dangerous prisons in the country,” Brennan told the Journal. Brennan, who became Bulger’s attorney after the gangster’s arrest in 2011, said Bulger told him in September during one of their last conversations that he was getting out of solitary confinement at a federal prison in Florida and being transferred to a prison medical facility. Instead, a month later, on Oct. 30, the 89-year-old mob boss was killed the day he arrived at the West Virginia prison. He was found bloodied and wrapped in a blanket after apparently being beaten with a lock stuffed in a sock. No one has been charged yet in the killing, but two Massachusetts mobsters are among the suspects, officials have said. A Bureau of Prisons spokesperson told the WSJ that Bulger was transferred from the Florida prison because of a threat he made against a staff member and the transfer was made in accordance with the bureau’s policy. Bulger, the model for Jack Nicholson’s ruthless crime boss in the 2006 Martin Scorsese movie “The Departed,” led a largely Irish mob that ran loan-sharking, gambling and drug rackets. He was also an FBI informant who ratted on the New England mob, his gang’s main rival, in an era when bringing down the Mafia was a top national priority for the FBI. He spent 16 years as one of America's most wanted fugitives until he was found in 2011, living with his girlfriend in a rent-controlled apartment in Santa Monica, California. Bulger was sentenced to life in prison in 2013 for 11 murders and numerous other crimes. He'd been assigned to prisons in Arizona and Florida specializing in sick inmates before he arrived at Hazelton prison in Bruceton Mills last month. The Associated Press contributed to this report."	nonTerrorism	Crime
Man accused of pushing passerby in front of oncoming truck charged	"A man who was accused of pushing a pedestrian in front of an oncoming truck in downtown Los Angeles last week was charged Friday for that crime in addition to two other ""random and unprovoked attacks,"" ABC News reported, citing prosecutors. The suspect, identified as 31-yeard-old Garrett Boldt, was seen in surveillance footage from Wednesday morning, sitting on a sidewalk before appearing to jump up and startle a woman before sitting back down. LOS ANGELES MAN RECORDED SHOVING OTHER MAN IN PATH OF MOVING TRUCK He then jumped again and appeared to shove a man into the path of an oncoming truck, police said. The driver of the truck slammed on his breaks but the victim was still pinned under the wheel, the video shows. Prosecutors said the victim suffered serious injuries. The suspect is seen appearing to pick up something off the ground before calmly leaving the scene, police said. Prosecutors claim the object was a bracelet that the victim had dropped during the shoving. Boldt was also accused of two other ""random and unprovoked"" attacks last week, the Los Angeles County District Attorney's Office said Friday. Prosecutors said the suspect had allegedly tackled a woman to the ground Tuesday and had punched a woman a bus stop the day of the alleged shoving. Boldt was arrested Wednesday and charged Friday with premediate attempted murder, among other charges. Boldt's next court hearing is scheduled for December 20. He faces a maximum sentence of life in state prison if he's convicted."	nonTerrorism	Crime
Maryland girl ordered to steal package from porch	"Detectives said “there are no words” to describe the latest porch pirate who was caught on camera in Belair, Maryland. A girl, who police believe is, no older than eight, is seen on a home surveillance camera running onto the front porch, and running away with a freshly delivered box containing a pair of boots. “A parent or older person is directing them to commit the theft which is pretty disturbing,” said Harford County Sheriff Jeffrey Gahler. Detectives are asking anyone who can help identify the girl to contact Harford County Police. Click for more from Fox 45 Baltimore."	nonTerrorism	Crime
Funeral for 'Baby Jane Doe' found near California highway	"Dozens of people bearing flowers or stuffed animals attended a funeral for a newborn girl found dead last summer along a Southern California highway. Authorities in Riverside County continue to investigate the death of the baby whose identity remains a mystery. The service on Thursday was organized in part by police officers and firefighters, the Press-Enterprise reported. Jon Castillo, a Corona police chaplain, led the about 70 people in prayer near the tiny, flower-draped casket. ""Every person who walks the planet is born in God's image, and she had inherent value and worth,"" Castillo said. The girl known as ""Baby Jane Doe"" was discovered on July 27 in a cardboard box near Interstate 15 in Corona, east of Los Angeles. She was wrapped in a t-shirt with stripes and a floral pattern. Monica Montejano was among those who said they felt compelled to show respect for the child. ""I would have held her,"" Montejano told the newspaper. ""I would have loved her."" Lorena Palacios placed a pair of miniature Christmas trees by the casket. She bought one at a grocery store and the other was purchased by a store employee who wanted to contribute. ""It's December, it's Christmas. I have three kids. Every kid wants a tree,"" Palacios said. The coroner has been unable to identify potential family members through DNA. Officials said detectives are asking for the public's help during the ongoing investigation. Authorities also emphasized that Corona offers several sites — including police stations, fire stations and hospitals — where parents can give up an infant within 72 hours of birth with no questions asked."	nonTerrorism	Crime
3 Sonic Drive-In employees arrested after ecstasy pill found in kid’s meal	"Three employees at a Texas Sonic Drive-In were arrested Thursday after an ecstasy pill was found in a kid’s meal given to a 4-year-old boy, police said. Tanisha Dancer, 30, Jonathan Roberson, 35, and Jose Molina, 22, were arrested after the boy’s 11-year-old sister unwrapped a hamburger from a Sonic kid’s meal and found the drug Thursday night, FOX7 Austin reported. The boy’s parents then brought the fast food order to the police station in Taylor, where the pill tested positive for ecstasy. Officers went to the Sonic Drive-In on Friday and arrested Dancer, the manager, Roberson and Molina, both employees at the fast food joint. Dancer, who was arrested on her outstanding warrant for a parole violation out of Guadalupe County, had three ecstasy pills with her at the time of the arrest. She also faces charges of possession of controlled substance. Roberson was arrested on four outstanding warrants in Travis County. Molina was arrested and charged with possession of marijuana. The trio may face additional charges following an investigation with the Williamson County District Attorney’s Office."	nonTerrorism	Crime
New Jersey mansion murders spur calls for state to reinstate death penalty	"The brutal killings of a New Jersey family at their burning mansion last month has spurred a group of lawmakers to call for the death penalty to be restored in the state. Paul Caneiro, 51, was charged on Nov. 30 with killing his brother Keith Caneiro, 50; Keith's wife, Jennifer; and their two young children two days before they were to host Thanksgiving at their sleek $1.5 million mansion. Monmouth County Prosecutor Christopher Gramiccioni has said the murder motives were “financial in nature,"" related to businesses the brothers were involved in, adding that the killings were one of the ""most brutal"" crimes he has seen. The slayings of the Colts Neck family now have some lawmakers calling for action on legislation to reinstate the death penalty for certain crimes. New Jersey banned capital punishment in 2007 after a one-year moratorium, becoming the first state to legislatively abolish the death penalty since 1965.  New Jersey's current governor, Democrat Phil Murphy, is opposed to the death penalty, representatives told the New Jersey Globe. NEW JERSEY MAN KILLED BROTHER AND HIS FAMILY OVER FINANCIAL ISSUE INVOLVING JOINT BUSINESS, PROSECUTOR SAYS But Republican State Sen. Steven Oroho said Wednesday the killings showed the need for New Jersey to reinstate the death penalty. ""The horrible truth is that unless killers know the death penalty is on the table, there are monsters out there that will kill,"" he said in a statement. ""In order to keep the public safe, we must reinstate the death penalty."" Oroho co-sponsored a bill with fellow GOP Assemblymen Parker Space and Harold Wirths before the murders, but was unsuccessful with moving it forward. Wirths told the Asbury Park Press that while the bill may face trouble with lawmakers in Trenton, it may have support from voters if it were to ever go on a statewide ballot. “I’d love for this to be a ballot or referendum question,” he told the paper. “I just can’t imagine the argument on the other end."" NEW JERSEY MANSION FIRE: BROTHER WAS SPOTTED BY NEIGHBOR HALF HOUR BEFORE BLAZE; COMMUNITY MOURNS SLAIN FAMILY The lawmaker, who was acting governor in 2006 and signed the original moratorium on capital punishment, told News 12 New Jersey that even when the state had the death penalty, it had not executed an inmate since 1963. ""When we had it, it was never utilized. Appeals went on forever and they (death row inmates) were in a nursing home or on a ventilator,” said State Sen. Dick Codey. Prosecutors have said that Caneiro is accused of setting fire to that residence as his wife and two adult daughters slept upstairs. All three safely escaped from the home. During a court hearing on Nov. 30, Paul Caneiro pleaded not guilty to the murder charges and to arson counts stemming from both fires. Fox News' Ryan Gaydos and The Associated Press contributed to this report."	nonTerrorism	Crime
"Arizona boy, 13, fights off intruder while home alone"	"An Arizona boy punched a home intruder in the face after the man climbed into his apartment and thought he was “having a telepathic conversation” with the 13-year-old, police said. Andre Marc Sutherland, 27, was arrested after breaking into the Phoenix apartment last Sunday through an unlocked sliding glass door, AZFamily.com reported. The teen told officers he was making pizza in the kitchen around 7 p.m. when he went back to his room and found Sutherland, who was on meth, in his bed and fondling himself. The teenager punched Sutherland in the face and the two got into a brief scuffle before Sutherland fled the apartment, court documents stated. The boy locked himself in the bathroom and called his father and 911. ""As soon as he said it, I kind of didn't believe it,"" the boy’s father told AZFamily.com. ""He said, 'Oh, there was a break in and he tried to choke me' was all he said. 'I'm locking myself in the bathroom.'"" Sutherland was located shortly after. He told police he broke into the apartment because he was looking for a place to sleep and chose that specific place because he thought it looked “haunted and abandoned,” court documents stated. He began fondling himself to “draw the spirits in.” Prior to being punched, Sutherland thought he was “having a telepathic conversation” with the teen, according to police. Sutherland was arrested on charges of burglary, public sexual indecency and aggravated assault. ""I don't think anybody could have done any better than what he's done,"" the boy's father said. ""He reacted perfectly in a situation where you couldn't really tell what way it was going to go."" ""He certainly exceeded my expectations. I'm very proud of him,"" he added."	nonTerrorism	Crime
Mom charged after baby found in motel freezer	"A woman arrested in connection with the death of her 6-month-old son last summer and leaving him in an Alabama motel room freezer has been indicted. Amanda Gail Oakes, 36, is charged with manslaughter and abuse of a corpse, the Dothan Eagle reported. Carlton James Mathis, 28, who was traveling with Oakes and her baby, Curtis James Oakes, was arrested in June after the baby’s body was found. Investigators said the boy died while in Mathis’ care, and then Oakes allegedly placed him in a Dothan, Ala., motel room when the smell became unbearable. The couple and infant ended up in the motel room after leaving Georgia when authorities there attempted to arrest Mathis on burglary and parole violation charges, according to prosecutors. Oakes and Mathis checked into the motel room, then Oakes briefly returned to Georgia to get her teenage daughter. The infant died shortly after she left and the couple placed the boy in the freezer, authorities said. After Georgia investigators contacted Dothan police about the infant's possible death, authorities learned the couple fled to Florida. Florida law enforcement officers found and arrested Mathis. He was shot during the arrest after he allegedly held the driver of a vehicle at gunpoint. Investigators discovered the boy in the freezer in Alabama soon after. Authorities determined he had been in the freezer for five to six days. Mathis remained in jail on several charges. Oakes' arrangement is scheduled for Jan. 8. The Associated Press contributed to this report."	nonTerrorism	Crime
"3 shot in Miami suburb, 3 suspects at large"	"Investigators in Opa-locka, Fla., were searching for three suspects Saturday night after three people were shot with what police said was an AK-47 rifle. Two of the victims suffered traumatic injuries and were airlifted to a local hospital, while the third victim suffered non-life-threatening injuries, Miami FOX affiliate WSVN-TV reported. One of the suspects fired at a responding officer but missed, the report said. The incident started just before 9:30 p.m., according to the report. K-9 unit officers were checking whether the suspects had entered nearby apartments or were able to flee the area on foot. Opa-locka is about 13 miles north of downtown Miami. Click here for more from WSVN-TV."	nonTerrorism	Crime
Texas man arrested after protesting Santa event	"Authorities in Texas arrested a man who joined in a protest at a Santa breakfast on Saturday morning, police said. Cleburne police officers who arrived to the church where the holiday event was occurring found three people – including the suspect, Aaron Urbanski, 31 – demonstrating, the department said in a news release. ‘GRINCH’ PRINCIPAL ON LEAVE AFTER ATTEMPT TO BAN CHRISTMAS ITEMS FROM SCHOOL The people staged the protest because they “were upset that the folks there were lying to the children about Santa,"" Officer Brian McQueen told The Dallas Morning News. A church representative requested the individuals to vacate the area numerous times, police said in the news release. However, Urbanski “refused to leave the property and continued causing a disturbance,” police said. The suspect was arrested for criminal trespass and booked into the Johnson County Law Enforcement Center, police said. Fox News’ attempts to reach the Johnson County Law Enforcement Center were unsuccessful. McQueen told Fox News that the department had no further information on Urbanski’s current status SANTA CLAUS TAKE A KNEE TO THANK WORLD WAR II VETERAN IN HEARTWARMING VIRAL VIDEO Cleburn Mayor Scott Cain took to Facebook and offered a word of caution: “Don’t Mess With Santa!” “While I understand folks right to protest, Cleburne loves Santa and those protestors who were naughty and broke the law when they trespassed were arrested promptly,” Cain wrote. “Guess they wanted coal in their stockings to go with a court appearance.” The Associated Press contributed to this report."	nonTerrorism	Crime
"FBI: Man charged in kidnapping, death of North Carolina teen"	"Police have arrested and charged a man with killing a 13-year-old girl who was kidnapped last month from a North Carolina mobile home park. The FBI said early Saturday that Michael Ray McLellan has been charged in connection with the kidnapping and murder of Hania Noelia Aguilar. The announcement comes the same day that a memorial service for Aguilar is set to take place at a local high school. The 34-year-old McLellan faces first-degree murder, rape and eight other felony charges. He'd been released from prison in June and was still on parole from a 2017 felony breaking and entering conviction, according to the News & Observer of Raleigh. He was previously convicted in 2007 of assault with a deadly weapon and was released on parole in 2016, the newspaper reported. He is being held without bond in the Robeson County Detention Center. He will appear in court at the Robeson County Courthouse on Monday. McLellan was in custody at the time of his arrest on charges unrelated to the Aguilar case, police said. On Nov. 5, police said Aguilar went outside to start a relative's SUV to prepare to leave for the bus stop when a man forced her into the vehicle and fled. Her disappearance sparked an intensive search. Drones, dogs, and scores of searchers on foot spent the following weeks combing the area. Police found her body several weeks later in a body of water about 10 miles (16 kilometers) south of the mobile home park where she was kidnapped. ""This is the outcome that we all feared,"" Lumberton Police Chief Michael McNeill told reporters after the body was found. ""We did not want to hear this. We wanted to bring Hania back home and bring her back home alive to our community. It hurts."" Police said they followed more than 850 leads and conducted nearly 500 interviews. The FBI's lab at Quantico, Virginia did a forensic exam on the stolen SUV, which was recovered a few days after Aguilar's initial disappearance. The North Carolina State Crime Lab provided test results on Aguilar's body. Police said the exams helped result in the charges against McLellan. A large turnout is expected at Aguilar's funeral Saturday at Lumberton High School. Her father, who lives in Guatemala, was denied an expedited visa to attend his daughter's funeral. Police said the investigation is ongoing and additional charges could be filed."	nonTerrorism	Crime
Massachusetts man who confessed to murder granted new trial after 33 years	"A man who Massachusetts prosecutors said confessed to killing a young mother 33 years ago has won a new trial under the state’s post-conviction DNA testing law. Arthur Davis, 53, was one of the first inmates in the state to apply for a new trial under the law which was enacted in 2012, his attorney David Siegel told Fox News. “From the beginning, he has maintained his innocence and has wanted to try and prove that ever since,” said Siegel, who teaches at the New England Law School of Law in Boston and worked with the New England Innocence Project on Davis' appeal, along with pro-bono attorney Christopher Schultz. UTAH PROSECUTORS SAY THEY HAVE NAME OF COLD CASE KILLER OF 2 Siegel said he believes that about 12 to 15 inmates have applied for post-conviction DNA testing, including his client. In 1986, Davis was convicted of killing Patricia Richard in Lowell on Feb. 10. 1985. He is currently serving a prison sentence of life without parole. Middlesex County Judge Maynard Kirpalan granted Davis’ request for a new trial in a Nov. 23 ruling. Davis has tried to overturn his conviction four previous times without success. Police found Richard’s nude body in an alcove at the Lowell City Hall. She died after being severely beaten to death. She was attacked apparently as she was walking to an all-night diner after going drinking with friends, the Boston Globe reported. Her violent death came nine days after she gave birth to her first child, a baby girl, according to the Lowell Sun. Richard and Davis were strangers. WOMAN FOUND DEAD IN SLEEPING BAG, WRAPPED IN CARPET ALONG UTAH ROAD IDENTIFIED AFTER 20 YEARS The evidence against Davis included blood found on several items in his home, a cigarette butt, a confession to police and statements to a co-worker and a friend. The cigarette butt was found next to Richard’s body. The friend testified that Davis told him “I killed her for a red and white polka dot dress.” But the DNA testing did not find Richard’s DNA profile on any of the blood samples tested, Kirpalan said. The DNA tests that were conducted weren’t available at the time of the murder. DNA was extracted from the cigarette butt. It belonged to a man, but not Davis, the judge said. “This court concludes that in light of its findings concerning the new DNA evidence, and the likely role the challenged physical evidence played in the jury’s deliberations, there is ‘a substantial risk of a miscarriage of justice’ and a new trial is warranted,” Kirpalan said. Siegel said the jury heard Davis testify that his confession to police was coerced. “The statements to the police are inconsistent with each other and were the product of nine or ten hours of interrogation of a 19-year-old,” Siegel said. “They were inconsistent with each other and the physical evidence."" Middlesex County prosecutors are weighing whether to appeal the ruling or retry Davis."	nonTerrorism	Crime
Air Force lieutenant colonel faces child exploitation charge after FBI sex sting	"An FBI sting has snared a high-ranking lieutenant colonel in the Air Force who was accused of trying to meet a girl at a hotel in Georgia after the two spoke online. LT. Col. Willie Newson, 47, was arrested Tuesday at a hotel in Marietta, Ga., on charges of child exploitation, the Atlanta Journal-Constitution reported. He was placed on leave pending the investigation’s outcome. It was not immediately clear if he has a lawyer. GEORGIA MURDER SUSPECT TAUNTS ALLEGED VICTIM’S FAMILY, ‘DO YOU BELIEVE IN GOD?’ Authorities said Newson was trying to meet with a teen girl he met on a dating app but she was really an undercover officer working for the FBI Metro Atlanta Child Exploitation Task Force. An arrest warrant stated the officer “gave Newson the opportunity to stop communicating several times,” Channel 2 Action News reported. Georgia Department of Defense spokeswoman Desiree Bamba said Newson is on the command staff of the state Air National Guard. FORMER IRS EMPLOYEE IN GEORGIA SENTENCED FOR IDENTITY THEFT “Lt. Col. Newson’s alleged actions do not reflect the values we uphold in the Georgia National Guard,” Bamba said. The Associated Press contributed to this report."	nonTerrorism	Crime
